,elevation,lat,lon,time
491,35.6,51.539518,-0.198479,2015-03-14 16:37:44
492,35.5,51.53948,-0.198498,2015-03-14 16:37:47
493,35.5,51.53946,-0.198549,2015-03-14 16:37:49
494,35.5,51.539442,-0.198594,2015-03-14 16:37:51
495,35.8,51.539637,-0.198332,2015-03-14 16:38:40
496,35.8,51.539641,-0.1984,2015-03-14 16:38:47
497,35.8,51.539621,-0.19844,2015-03-14 16:38:50
498,35.8,51.539617,-0.198483,2015-03-14 16:39:12
499,35.8,51.539603,-0.198533,2015-03-14 16:39:16
500,35.8,51.539595,-0.198576,2015-03-14 16:39:22
501,35.8,51.539609,-0.198525,2015-03-14 16:39:28
502,35.9,51.539633,-0.198497,2015-03-14 16:39:33
503,36.0,51.539666,-0.198435,2015-03-14 16:39:42
504,36.0,51.539652,-0.198481,2015-03-14 16:40:06
505,36.0,51.539663,-0.198438,2015-03-14 16:40:16
506,35.9,51.539636,-0.19847,2015-03-14 16:40:23
507,35.8,51.539602,-0.198507,2015-03-14 16:40:28
508,35.8,51.539576,-0.198558,2015-03-14 16:40:30
509,35.9,51.539583,-0.198634,2015-03-14 16:40:32
